X(1) = 0.13, Y(1) = 4.32
X(2) = 0.74, Y(2) = 2.68
X(3) = 0.66, Y(3) = 5.21
X(4) = 0.65, Y(4) = 8.12
X(5) = 0.32, Y(5) = 9.09
X(6) = 0.39, Y(6) = 8.52
X(7) = 0.32, Y(7) = 7.33
X(8) = 0.23, Y(8) = 4.17
X(9) = 0.70, Y(9) = 7.13
X(10) = 0.40, Y(10) = 2.13
X(11) = 0.88, Y(11) = 2.18
X(12) = 0.96, Y(12) = 7.10
X(13) = 0.80, Y(13) = 4.28
X(14) = 0.45, Y(14) = 6.40
X(15) = 0.35, Y(15) = 6.04
X(16) = 0.06, Y(16) = 2.91
X(17) = 0.67, Y(17) = 1.56
X(18) = 0.20, Y(18) = 2.34
X(19) = 0.66, Y(19) = 4.39
X(20) = 0.49, Y(20) = 5.37
X(21) = 0.74, Y(21) = 9.11
X(22) = 0.33, Y(22) = 7.21
X(23) = 0.75, Y(23) = 8.74
X(24) = 0.69, Y(24) = 2.80
X(25) = 0.39, Y(25) = 7.65
X(26) = 0.67, Y(26) = 5.09
X(27) = 0.99, Y(27) = 4.91
X(28) = 0.37, Y(28) = 2.45
X(29) = 0.25, Y(29) = 7.93
X(30) = 0.06, Y(30) = 5.21
